MODE,RUN_SPOT,RUN_RESERVE,RUN_ACTIVATION,NUM_EVS,TIME_RES,CLUSTER_METHOD,NUM_CLUSTERS,runtime_scheduling,runtime_aggregation,pct_saved_spot,pct_gain_res,pct_gain_act,pct_total_saved,total_rev,mean_base_spot,pct_of_optimal
joint,True,False,False,20,3600,ward,5,0.099,0.004,16.42,0.0,0.0,16.42,-302238.548,361634.564,68.7
sequential,True,False,False,20,3600,ward,5,0.132,0.005,16.42,0.0,0.0,16.42,-302238.548,361634.564,68.7
joint,True,True,False,20,3600,ward,5,0.093,0.004,16.42,0.82,0.0,17.25,-299267.754,361634.564,68.693
sequential,True,True,False,20,3600,ward,5,0.171,0.005,16.42,0.82,0.0,17.25,-299267.754,361634.564,68.693
joint,True,True,True,20,3600,ward,5,0.127,0.005,16.42,0.0,0.0,16.42,-302238.548,361634.564,68.7
sequential,True,True,True,20,3600,ward,5,0.195,0.009,16.42,0.0,0.0,16.42,-302238.548,361634.564,68.7
joint,True,False,False,20,900,ward,5,0.306,0.004,-4.63,0.0,0.0,-4.63,-344162.209,328931.235,66.901
sequential,True,False,False,20,900,ward,5,0.48,0.105,-4.63,0.0,0.0,-4.63,-344162.209,328931.235,66.901
joint,True,True,False,20,900,ward,5,0.262,0.006,4.49,1.11,0.0,5.6,-310523.615,328931.235,70.822
sequential,True,True,False,20,900,ward,5,0.309,0.005,-4.63,1.23,0.0,-3.4,-340118.827,328931.235,66.77
joint,True,True,True,20,900,ward,5,0.242,0.004,4.49,0.0,0.0,4.49,-314172.88,328931.235,71.392
sequential,True,True,True,20,900,ward,5,0.328,0.004,-4.63,0.0,0.0,-4.63,-344162.209,328931.235,66.725
joint,True,False,False,100,3600,ward,5,0.094,0.004,16.42,0.0,0.0,16.42,-302238.548,361634.564,68.7
sequential,True,False,False,100,3600,ward,5,0.129,0.006,16.42,0.0,0.0,16.42,-302238.548,361634.564,68.7
joint,True,True,False,100,3600,ward,5,0.113,0.006,16.42,0.82,0.0,17.25,-299267.754,361634.564,68.693
sequential,True,True,False,100,3600,ward,5,0.169,0.005,16.42,0.82,0.0,17.25,-299267.754,361634.564,68.693
joint,True,True,True,100,3600,ward,5,0.127,0.003,16.42,0.0,0.0,16.42,-302238.548,361634.564,68.7
sequential,True,True,True,100,3600,ward,5,0.184,0.004,16.42,0.0,0.0,16.42,-302238.548,361634.564,68.7
joint,True,False,False,100,900,ward,5,0.199,0.004,-4.63,0.0,0.0,-4.63,-344162.209,328931.235,66.901
sequential,True,False,False,100,900,ward,5,0.259,0.004,-4.63,0.0,0.0,-4.63,-344162.209,328931.235,66.901
joint,True,True,False,100,900,ward,5,0.246,0.004,4.49,1.11,0.0,5.6,-310523.615,328931.235,70.822
sequential,True,True,False,100,900,ward,5,0.289,0.004,-4.63,1.23,0.0,-3.4,-340118.827,328931.235,66.77
joint,True,True,True,100,900,ward,5,0.241,0.006,4.49,0.0,0.0,4.49,-314172.88,328931.235,71.392
sequential,True,True,True,100,900,ward,5,0.311,0.004,-4.63,0.0,0.0,-4.63,-344162.209,328931.235,66.725
joint,True,False,False,200,3600,ward,5,0.085,0.005,16.42,0.0,0.0,16.42,-302238.548,361634.564,68.7
sequential,True,False,False,200,3600,ward,5,0.116,0.006,16.42,0.0,0.0,16.42,-302238.548,361634.564,68.7
joint,True,True,False,200,3600,ward,5,0.096,0.005,16.42,0.82,0.0,17.25,-299267.754,361634.564,68.693
sequential,True,True,False,200,3600,ward,5,0.145,0.006,16.42,0.82,0.0,17.25,-299267.754,361634.564,68.693
joint,True,True,True,200,3600,ward,5,0.112,0.003,16.42,0.0,0.0,16.42,-302238.548,361634.564,68.7
sequential,True,True,True,200,3600,ward,5,0.169,0.005,16.42,0.0,0.0,16.42,-302238.548,361634.564,68.7
joint,True,False,False,200,900,ward,5,0.232,0.004,-4.63,0.0,0.0,-4.63,-344162.209,328931.235,66.901
sequential,True,False,False,200,900,ward,5,0.255,0.004,-4.63,0.0,0.0,-4.63,-344162.209,328931.235,66.901
joint,True,True,False,200,900,ward,5,0.229,0.004,4.49,1.11,0.0,5.6,-310523.615,328931.235,70.822
sequential,True,True,False,200,900,ward,5,0.292,0.004,-4.63,1.23,0.0,-3.4,-340118.827,328931.235,66.77
joint,True,True,True,200,900,ward,5,0.24,0.003,4.49,0.0,0.0,4.49,-314172.88,328931.235,71.392
sequential,True,True,True,200,900,ward,5,0.386,0.004,-4.63,0.0,0.0,-4.63,-344162.209,328931.235,66.725
