time_slot,agent,p,pb_dn,pb_up,pr_dn,pr_up,s_dn,s_up,spot_price
103,1,0.0,22.0,22.0,22.0,22.0,0.0,0.0,514.27002
103,5,0.0,11.0,11.0,11.0,11.0,0.0,0.0,514.27002
103,17,0.0,22.0,22.0,22.0,22.0,0.0,0.0,514.27002
103,21,0.0,11.0,11.0,11.0,11.0,0.0,0.0,514.27002
103,30,0.0,22.0,22.0,22.0,22.0,0.0,0.0,514.27002
103,31,0.0,11.0,11.0,11.0,11.0,0.0,0.0,514.27002
103,33,0.0,11.0,11.0,11.0,11.0,0.0,0.0,514.27002
103,37,0.0,11.0,11.0,11.0,11.0,0.0,0.0,514.27002
103,38,0.0,11.0,11.0,11.0,11.0,0.0,0.0,514.27002
103,40,0.0,11.0,11.0,11.0,11.0,0.0,0.0,514.27002
103,46,0.0,11.0,11.0,11.0,11.0,0.0,0.0,514.27002
103,51,0.0,7.2,7.2,7.2,7.2,0.0,0.0,514.27002
103,59,0.0,11.0,11.0,11.0,11.0,0.0,0.0,514.27002
103,63,0.0,7.2,7.2,7.2,7.2,0.0,0.0,514.27002
103,65,0.0,11.0,11.0,11.0,11.0,0.0,0.0,514.27002
103,77,0.0,22.0,22.0,22.0,22.0,0.0,0.0,514.27002
103,79,0.0,7.2,7.2,7.2,7.2,0.0,0.0,514.27002
103,83,0.0,7.2,7.2,7.2,7.2,0.0,0.0,514.27002
103,96,0.0,22.0,22.0,22.0,22.0,0.0,0.0,514.27002
103,98,0.0,22.0,22.0,22.0,22.0,0.0,0.0,514.27002
103,102,0.0,7.2,7.2,7.2,7.2,0.0,0.0,514.27002
103,103,0.0,11.0,11.0,11.0,11.0,0.0,0.0,514.27002
103,114,0.0,11.0,11.0,11.0,11.0,0.0,0.0,514.27002
103,119,0.0,22.0,22.0,22.0,22.0,0.0,0.0,514.27002
103,120,0.0,7.2,7.2,7.2,7.2,0.0,0.0,514.27002
103,122,0.0,22.0,22.0,22.0,22.0,0.0,0.0,514.27002
103,127,0.0,11.0,11.0,11.0,11.0,0.0,0.0,514.27002
103,129,1.2,6.0,7.2,6.0,7.2,0.0,0.0,514.27002
103,130,0.0,11.0,11.0,11.0,11.0,0.0,0.0,514.27002
103,135,0.0,11.0,11.0,11.0,11.0,0.0,0.0,514.27002
103,136,0.0,22.0,22.0,22.0,22.0,0.0,0.0,514.27002
103,140,0.0,22.0,22.0,22.0,22.0,0.0,0.0,514.27002
103,150,0.0,7.2,7.2,7.2,7.2,0.0,0.0,514.27002
103,164,0.0,7.2,7.2,7.2,7.2,0.0,0.0,514.27002
103,167,0.0,7.2,7.2,7.2,7.2,0.0,0.0,514.27002
104,0,0.0,22.0,22.0,22.0,22.0,0.0,0.0,702.200012
104,1,0.0,22.0,22.0,22.0,22.0,0.0,0.0,702.200012
104,4,0.0,22.0,22.0,22.0,22.0,0.0,0.0,702.200012
104,5,0.0,11.0,11.0,11.0,11.0,0.0,0.0,702.200012
104,7,0.0,11.0,11.0,11.0,11.0,0.0,0.0,702.200012
104,8,0.0,11.0,11.0,11.0,11.0,0.0,0.0,702.200012
104,9,0.0,22.0,22.0,22.0,22.0,0.0,0.0,702.200012
104,10,0.0,7.2,7.2,7.2,7.2,0.0,0.0,702.200012
104,13,0.0,22.0,22.0,22.0,22.0,0.0,0.0,702.200012
104,17,0.0,22.0,22.0,22.0,22.0,0.0,0.0,702.200012
104,21,0.0,11.0,11.0,11.0,11.0,0.0,0.0,702.200012
104,23,0.0,22.0,22.0,22.0,22.0,0.0,0.0,702.200012
104,26,0.0,11.0,11.0,11.0,11.0,0.0,0.0,702.200012
104,30,0.0,22.0,22.0,22.0,22.0,0.0,0.0,702.200012
104,31,0.0,11.0,11.0,11.0,11.0,0.0,0.0,702.200012
